iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
689	242	287	242	340	242	287	340
690	243	288	243	340	243	288	340
691	243	288	243	340	243	288	340
692	243	288	243	340	243	288	340
693	243	288	243	340	243	288	340
694	242	287	242	340	242	287	340
695	242	287	242	340	242	287	340
696	242	287	242	340	242	287	340
697	243	288	243	340	243	288	340
698	242	287	242	340	242	287	340
699	242	287	242	340	242	287	340
700	242	287	242	340	242	287	340
701	243	288	243	340	243	288	340
702	243	288	243	340	243	288	340
703	243	288	243	340	243	288	340
704	243	288	243	340	243	288	340
705	243	288	243	340	243	288	340
706	243	288	243	340	243	288	340
707	243	288	243	340	243	288	340
708	243	288	243	340	243	288	340
709	243	288	243	340	243	288	340
710	244	289	244	340	244	289	340
711	243	288	243	340	243	288	340
712	243	288	243	340	243	288	340
713	243	288	243	340	243	288	340
714	243	288	243	340	243	288	340
715	244	289	244	340	244	289	340
716	244	289	244	340	244	289	340
717	244	289	244	340	244	289	340
718	244	289	244	340	244	289	340
719	244	289	244	340	244	289	340
720	244	289	244	340	244	289	340
721	244	289	244	340	244	289	340
722	243	288	243	340	243	288	340
723	243	288	243	340	243	288	340
724	243	288	243	340	243	288	340
725	243	288	243	340	243	288	340
726	243	288	243	340	243	288	340
727	243	288	243	340	243	288	340
728	243	288	243	340	243	288	340
729	243	288	243	340	243	288	340
730	243	288	243	340	243	288	340
731	242	287	242	340	242	287	340
732	243	288	243	340	243	288	340
733	243	288	243	340	243	288	340
734	243	288	243	340	243	288	340
735	243	288	243	340	243	288	340
736	243	288	243	340	243	288	340
737	243	288	243	340	243	288	340
738	243	288	243	340	243	288	340
739	243	288	243	340	243	288	340
740	243	288	243	340	243	288	340
741	242	287	242	340	242	287	340
742	242	287	242	340	242	287	340
743	242	287	242	340	242	287	340
744	242	287	242	340	242	287	340
745	242	287	242	340	242	287	340
746	242	287	242	340	242	287	340
747	242	287	242	340	242	287	340
748	242	287	242	340	242	287	340
749	242	287	242	340	242	287	340
750	242	287	242	340	242	287	340
751	242	287	242	340	242	287	340
752	243	288	243	340	243	288	340
753	243	288	243	340	243	288	340
754	243	288	243	340	243	288	340
755	243	288	243	340	243	288	340
756	243	288	243	340	243	288	340
757	243	288	243	340	243	288	340
758	243	288	243	340	243	288	340
759	242	287	242	340	242	287	340
760	242	287	242	340	242	287	340
761	242	287	242	340	242	287	340
762	243	288	243	340	243	288	340
763	243	288	243	340	243	288	340
764	243	288	243	340	243	288	340
765	243	288	243	340	243	288	340
766	243	288	243	340	243	288	340
767	243	288	243	340	243	288	340
768	243	288	243	340	243	288	340
769	243	288	243	340	243	288	340
770	242	287	242	340	242	287	340
771	242	287	242	340	242	287	340
772	242	287	242	340	242	287	340
773	243	288	243	340	243	288	340
774	242	287	242	340	242	287	340
775	241	286	241	340	241	286	340
776	242	287	242	340	242	287	340
777	242	287	242	340	242	287	340
778	242	287	242	340	242	287	340
779	242	287	242	340	242	287	340
780	242	287	242	340	242	287	340
781	242	287	242	340	242	287	340
782	242	287	242	340	242	287	340
783	242	287	242	340	242	287	340
784	241	286	241	340	241	286	340
785	241	286	241	340	241	286	340
786	241	286	241	340	241	286	340
787	241	286	241	340	241	286	340
788	241	286	241	340	241	286	340
789	242	287	242	340	242	287	340
790	242	287	242	340	242	287	340
791	242	287	242	340	242	287	340
792	242	287	242	340	242	287	340
793	242	287	242	340	242	287	340
794	243	288	243	340	243	288	340
795	242	287	242	340	242	287	340
796	242	287	242	340	242	287	340
797	242	287	242	340	242	287	340
798	242	287	242	340	242	287	340
799	242	287	242	340	242	287	340
800	242	287	242	340	242	287	340
801	242	287	242	340	242	287	340
802	242	287	242	340	242	287	340
803	242	287	242	340	242	287	340
804	242	287	242	340	242	287	340
805	242	287	242	340	242	287	340
806	242	287	242	340	242	287	340
807	242	286	242	340	242	286	340
808	242	286	242	340	242	286	340
809	242	286	242	340	242	286	340
810	242	286	242	340	242	286	340
811	242	286	242	340	242	286	340
812	242	286	242	340	242	286	340
813	242	286	242	340	242	286	340
814	242	286	242	340	242	286	340
815	242	286	242	340	242	286	340
816	242	286	242	340	242	286	340
817	242	286	242	340	242	286	340
818	242	286	242	340	242	286	340
819	243	287	243	340	243	287	340
820	243	287	243	340	243	287	340
821	243	287	243	340	243	287	340
822	243	287	243	340	243	287	340
823	243	287	243	340	243	287	340
824	243	287	243	340	243	287	340
825	243	287	243	340	243	287	340
826	243	287	243	340	243	287	340
827	243	287	243	340	243	287	340
828	243	287	243	340	243	287	340
829	243	287	243	340	243	287	340
830	243	287	243	340	243	287	340
831	243	287	243	340	243	287	340
832	243	287	243	340	243	287	340
833	243	287	243	340	243	287	340
834	243	287	243	340	243	287	340
835	243	287	243	340	243	287	340
836	243	287	243	340	243	287	340
837	243	287	243	340	243	287	340
838	243	287	243	340	243	287	340
839	243	287	243	340	243	287	340
840	243	287	243	340	243	287	340
841	243	287	243	340	243	287	340
842	243	287	243	340	243	287	340
843	243	287	243	340	243	287	340
844	243	287	243	340	243	287	340
845	243	287	243	340	243	287	340
846	243	287	243	340	243	287	340
847	243	287	243	340	243	287	340
848	243	287	243	340	243	287	340
849	243	287	243	340	243	287	340
850	243	287	243	340	243	287	340
